borrower_name,ssn,birthday,email,phone
Lee Smith,485359957,1999-04-26,lsmith@u.rochester.edu,5855322292
John Shannon,749576666,2001-03-03,jshannon@u.rochester.edu,3126342901
Aaron Wang,315270577,2000-12-21,awang43@u.rochester.edu,5855328656
Miles Zhou,502214131,1999-08-11,mzhou34@u.rochester.edu,4283395812
Kim Sydney,957812323,2000-06-17,ksydney3@u.rochester.edu,3865791213
Smith Gundlach,468753612,2001-11-24,sgundlach@u.rochester.edu,5863163666
Mel Kenny,688746089,2002-10-11,mkenny8@u.rochester.edu,4235793264
John Cook,311463278,2003-09-27,jcook30@u.rochester.edu,5853267532
Jiwoon Kim,469309677,2000-02-13,jkim58@u.rochester.edu,4236873968
Sid Williams,233573169,1998-12-21,swilliams2@u.rochester.edu,8275356364
Jacob Johnson,785329678,2001-09-21,jjohnson19@u.rochester.edu,3125675364
Juliaan Garcia,321314567,1999-02-13,jgarcia27@u.rochester.edu,5853648535
Monica Zhang,481381357,2000-06-27,mzhang44@u.rochester.edu,7457429873
Jill Davis,890325967,1999-08-20,jdavis9@u.rochester.edu,3864682868
Nisha Sacha,231474215,1998-10-30,nshcha5@u.rochester.edu,4258428692
Jojo Miller,432633569,2001-05-05,jmiller4@u.rochester.edu,5793864938
Charlse Brown,231354254,2002-07-29,charlse0729@gmail.com,3692577426
Yi Ding,776355426,2000-09-26,yding26@u.rochester.edu,8285395269
Lil Martin ,526646321,1999-10-29,lmartin@u.rochester.edu,3257427938
Tylor Jackson,339425465,2000-01-05,tjackson2@u.rochester.edu,5475367356
Juju Lopez,556632357,1999-10-20,jlopez8@u.rochester.edu,5855368559
Charlse Anderson,666322536,2001-12-21,charlseanderson@gamil.com,3246437378
Thomas Edward,657326326,2001-12-01,tedward3@u.rochester.edu,3125368906
Jason Clark,642215253,2022-05-24,jclark10@u.rochester.edu,5853267585
Luis Robinson,135433245,1969-03-08,lrobinson3@u.rochester.edu,5853246488
Aaron King,513533425,1999-04-05,aking@u.rochester.edu,5363256378
Nina Wright,145643456,2002-08-24,nwright5@u.rochester.edu,5346743577
Alex Young,323532364,1997-06-12,ayoung12@u.rochester.edu,6373253479
Jenny Scott,542134221,2000-06-06,jscott2@u.rochester.edu,5854256348
Freya Nelson,543532366,2001-09-19,fnelson@u.rochester.edu,3246344237
Jason Zhou,521237643,2002-10-10,jzhou34@u.rochester.edu,4246344267
Alan Baker,642752345,2001-03-10,abaker4@u.rochester.edu,5853264677
Chelsy Hall,678367531,2002-08-21,chall8@u.rochester.edu,5366476523
Lucy Cambell,876564678,1999-06-29,lcambell2@u.rochester.edu,8575473745
Rachel Mitchell,456236422,2000-11-12,rmitchell@u.rochester.edu,7484363278
Robert Phillips,654631357,1999-12-20,rphillips2@u.rochester.edu,5853234347
Evan Lin,536867434,2001-09-24,elin19@u.rochester.edu,3543256783
Peter Parker,255642467,2003-07-19,pparker9@u.rochester.edu,5745476894
Jonny Diaz,342642367,2000-07-26,jdiaz4@u.rochester.edu,5853203694
Sophie Cook,773345765,2000-08-18,scook11@u.rochester.edu,5266852379
Roger Wang,463777426,1999-09-10,rwang31@u.rochester.edu,5378438438
Nina Kim,426326478,1998-07-13,nkim8@u.rochester.edu,7486375434
Molly Morgan,423637894,1988-12-22,mmorgan11@u.rochester.edu,7357374268
Billy Bailey,746879643,1999-06-24,bbailey3@u.rochester.edu,5855377678
Howard Reed,537744835,1999-03-28,hreed6@u.rochester.edu,3255475642
Emma Johnson,645850969,1999-05-24,ejohnson4@u.rochester.edu,3684246542
Richard Black,848539517,2002-09-30,rblack17@u.rochester.edu,6365382526
Manny Price,257448325,2001-08-21,mprice9@u.rochester.edu,4352532468
Jane Myers,637422548,2002-03-23,jmyers4@u.rochester.edu,3255377436
