record_ID,book_ID,copy_ID,library_ID,ssn,borrowed_date,due_date,return_date
1,9,4,3,785329678,2020-01-05,2020-01-18,2020-01-18
2,3,3,4,426326478,2020-01-30,2020-02-05,2020-02-05
3,21,1,4,456236422,2020-03-02,2020-03-09,2020-03-09
4,27,1,5,688746089,2020-03-08,2020-03-17,2020-03-16
5,34,1,4,339425465,2020-05-20,2020-05-25,2020-05-22
6,100,1,4,657326326,2020-05-21,2020-05-30,2020-05-27
7,98,1,1,654631357,2020-05-21,2020-05-31,2020-05-31
8,31,1,1,463777426,2020-06-02,2020-06-16,2020-06-14
9,32,1,2,255642467,2020-07-12,2020-07-20,2020-07-20
10,41,1,3,423637894,2020-07-31,2020-08-09,2020-08-09
11,45,1,4,513533425,2020-08-01,2020-08-17,2020-08-17
12,81,1,2,513533425,2020-10-10,2020-10-20,2020-10-12
13,70,1,2,513533425,2020-10-14,2020-10-24,2020-10-26
14,80,4,5,233573169,2020-11-11,2020-11-20,2020-11-23
15,79,1,4,315270577,2020-12-01,2020-12-15,2020-12-14
16,99,1,3,426326478,2020-12-21,2020-12-31,2020-12-31
17,51,1,2,678367531,2020-12-28,2020-01-06,2020-01-06
18,64,1,4,521237643,2021-01-05,2020-01-19,2020-01-17
19,60,1,5,654631357,2021-01-27,2020-02-03,2020-02-03
20,1,2,2,637422548,2021-02-02,2020-02-14,2020-02-14
21,3,2,3,311463278,2020-02-14,2021-02-20,2021-02-20
22,6,1,1,502214131,2021-02-18,2021-02-25,2021-02-25
23,9,2,2,957812323,2021-02-27,2021-03-04,2021-03-04
24,10,1,4,481381357,2021-03-01,2021-03-10,2021-03-10
25,13,1,1,688746089,2021-03-10,2021-03-24,2021-03-22
26,16,1,3,321314567,2021-04-20,2021-04-30,2021-04-30
27,6,1,1,231474215,2021-04-25,2021-04-30,2021-04-29
28,9,3,4,468753612,2021-05-03,2021-05-17,2021-05-14
29,48,1,5,502214131,2021-05-19,2021-05-28,2021-05-28
30,55,1,1,321314567,2021-06-07,2021-06-17,2021-06-17
31,62,1,4,776355426,2021-07-09,2021-07-21,2021-07-20
32,72,1,3,785329678,2021-08-25,2021-08-31,2021-08-31
33,58,2,4,311463278,2021-08-25,2021-09-02,2021-09-02
34,56,1,4,957812323,2021-09-10,2021-09-17,2021-09-17
35,92,2,1,890325967,2021-10-24,2021-10-30,2021-10-30
36,88,1,5,311463278,2021-10-24,2021-11-04,2021-11-01
37,82,1,5,231474215,2021-10-28,2021-11-06,2021-11-06
38,74,1,1,526646321,2021-11-10,2021-11-24,2021-11-23
39,55,1,1,485359957,2021-11-23,2021-11-30,2021-11-30
40,77,1,5,315270577,2021-11-27,2021-12-07,2021-12-07
41,23,1,1,468753612,2021-12-20,2021-12-25,2021-12-27
42,29,1,3,688746089,2022-01-12,2022-01-20,2022-01-20
43,32,1,2,311463278,2022-01-15,2022-01-30,2022-01-30
44,41,1,3,469309677,2022-02-03,2022-02-10,2022-02-10
45,48,1,5,233573169,2022-02-10,2022-02-20,2022-02-20
46,32,2,4,785329678,2022-02-21,2022-02-25,2022-02-23
47,52,1,1,321314567,2022-02-28,2022-03-03,2022-03-03
48,54,2,1,481381357,2022-03-03,2022-03-10,2022-03-10
49,57,1,3,890325967,2022-03-09,2022-03-18,2022-03-17
50,21,1,4,231474215,2022-03-10,2022-03-20,2022-03-20
51,27,2,3,432633569,2022-03-17,2022-03-25,2022-03-25
52,32,2,4,642752345,2022-03-24,2022-03-30,2022-03-28
53,76,2,4,678367531,2022-03-28,2022-04-07,2022-04-06
54,80,1,2,513533425,2022-03-30,2022-04-09,2022-04-08
55,88,1,5,145643456,2022-04-01,2022-04-07,NULL
56,90,1,4,323532364,2022-04-03,2022-04-10,NULL
57,95,2,4,542134221,2022-04-04,2022-04-14,NULL
58,98,1,1,543532366,2022-04-04,2022-04-15,NULL
59,95,3,3,521237643,2022-04-05,2022-04-10,NULL
